広告管理 ＞ キャンペーン ＞ 広告主

"ID","広告主名","表示率","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","CPC(グロス)","eCPM(グロス)"
"1141","Plusmate","100%",23676435,41255,"0.174%",122,"0.296%",233052.81,171057.89832000056,61994.91168,5.65,9.84
"125","にじげんカノジョ","100%",18412966,24969,"0.136%",168,"0.673%",181701.37999999995,130558.14121999902,51143.23878,7.28,9.87
"957","アナザーヒロイン","100%",11509658,9984,"0.087%",59,"0.591%",79197.7,59928.62716000039,19269.07284,7.93,6.88
"2458","ニジカレ","100%",8531132,6390,"0.075%",45,"0.704%",68558.61,51603.83000000006,16954.78,10.73,8.04
"2645","SSP連携_ARROW","100%",2528651,4021,"0.159%",0,"0",47860.200000000004,36562.455500000004,11297.7445,11.9,18.93
"5246","リングラム","100%",4451332,2132,"0.048%",55,"2.580%",30244.700000000004,23146.987550999987,7097.712449,14.19,6.79
"6626","SSP連携_Adroute_2","100%",1336777,2396,"0.179%",0,"0",29283,22249.814,7033.186,12.22,21.91
"6109","株式会社リプラグ","100%",2116536,2620,"0.124%",11,"0.420%",25123.829999999998,20492.231199999995,4631.5988,9.59,11.87
"83","アキナジスタ","100%",1557686,1570,"0.101%",1,"0.064%",18052,12996.833999999999,5055.166,11.5,11.59
"4155","株式会社HAL","100%",7935188,2230,"0.028%",3,"0.135%",18043.4,14748.673154999955,3294.726845,8.09,2.27
"432","SSP連携_Advision","100%",2173301,15845,"0.729%",0,"0",12942,15526.681500000004,-2584.6815,0.82,5.95
"18","自社運用_チャットアプリ","100%",2612118,277610,"10.628%",17,"0.006%",11980.69,13113.398199999994,-1132.7082,0.04,4.59
"707","株式会社ケーワン・エンタープライズ","100%",203980,23563,"11.552%",415,"1.761%",11244.989999999998,8034.832500000002,3210.1575,0.48,55.13
"4499","株式会社サン・クラルテ製薬","100%",8035875,12786,"0.159%",1,"0.008%",11038.413000000008,13520.37755100001,-2481.964551,0.86,1.37
"28","イークリエーション株式会社","100%",1487487,1385,"0.093%",0,"0",10070.81,6888.488000000001,3182.322,7.27,6.77
"7034","株式会社ワクワクコミュニケーションズ","100%",470773,667,"0.142%",0,"0",8547,8182.469999999999,364.53,12.81,18.16
"1025","株式会社マイクロン","100%",477737,112070,"23.459%",2,"0.002%",3740.97,3000.5075000000006,740.4625,0.03,7.83
