広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"3673 Plusmate(counsel)_準一般","15338","[準一般]Plusmate_インフィード小_iOS[counsel](fam_98)CRtest","ｲﾝﾌｨｰﾄﾞ_小","",49,30,"オン",3596328,1218,"0.034%",16,"1.314%",18314.6,12927.640959999999,5386.95904,0,15.04,5.09
"2100 にじげんカノジョ_準一般","15629","【新】にじげんカノジョ_準一般_300*250_IOS_動画スクロール_fam146_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",640231,1732,"0.271%",17,"0.982%",16586,12953.677000000001,3632.323,0,9.58,25.91
"2100 にじげんカノジョ_準一般","15679","【新】にじげんカノジョ_準一般_300*250_ADR_動画スクロール_fam149(年確あり)_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",617846,2076,"0.336%",8,"0.385%",15173,10158.5075,5014.4925,0,7.31,24.56
"3673 Plusmate(counsel)_準一般","15339","[準一般]Plusmate_インフィード小_ADR[counsel](fam_98)CRtest","ｲﾝﾌｨｰﾄﾞ_小","",47,30,"オン",2582608,1191,"0.046%",8,"0.672%",13704.1,10075.18898,3628.91102,0,11.51,5.31
"2100 にじげんカノジョ_準一般","15630","【新】にじげんカノジョ_準一般_300*250_ADR_動画スクロール_fam146_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",475164,1754,"0.369%",9,"0.513%",12217,8945.241499999998,3271.7585,0,6.97,25.71
"3673 Plusmate(counsel)_準一般","15268","[準一般]Plusmate_インフィード小_iOS[counsel_直](fam_98)","ｲﾝﾌｨｰﾄﾞ_小","",77,30,"オン",3231446,961,"0.030%",12,"1.249%",12126,8563.91106,3562.08894,0,12.62,3.75
"3673 Plusmate(counsel)_準一般","15245","[準一般]Plusmate_レクタングル_動画スクロール_ADR[counsel_直](fam_98)【ｽﾄｰﾘｰCR】","ﾚｸﾀﾝｸﾞﾙ","カテ",4,30,"オン",560727,647,"0.115%",3,"0.464%",10494,7528.645,2965.355,0,16.22,18.71
"2100 にじげんカノジョ_準一般","15692","【新】にじげんカノジョ_準一般_300*250_IOS_動画スクロール_fam149(年確あり)_ファインドバナー②","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",490601,1131,"0.231%",10,"0.884%",10369,6974.677400000001,3394.3226,0,9.17,21.14
"3673 Plusmate(counsel)_準一般","15269","[準一般]Plusmate_インフィード小_ADR[counsel_直](fam_98)","ｲﾝﾌｨｰﾄﾞ_小","",90,30,"オン",1873350,820,"0.044%",2,"0.244%",9584.61,6728.507940000001,2856.10206,0,11.69,5.12
"2100 にじげんカノジョ_準一般","15667","【新】にじげんカノジョ_準一般_300*250_IOS_動画スクロール_fam146_ファインドバナー②","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",604448,1047,"0.173%",10,"0.955%",9337,6870.678700000002,2466.3213,0,8.92,15.45
"3673 Plusmate(counsel)_準一般","15244","[準一般]Plusmate_レクタングル_動画スクロール_iOS[counsel_直](fam_98)【ｽﾄｰﾘｰCR】","ﾚｸﾀﾝｸﾞﾙ","カテ",4,30,"オン",441712,320,"0.072%",9,"2.813%",9182.5,6143.056,3039.444,0,28.7,20.79
"3673 Plusmate(counsel)_準一般","15440","[準一般]Plusmate_レクタングル_動画スクロール_iOS[counsel_直](fam_98)【ﾘﾊﾞｰｽ】②","ﾚｸﾀﾝｸﾞﾙ","カテ",8,30,"オン",366323,310,"0.085%",5,"1.613%",9101,5658.480099999998,3442.5199,0,29.36,24.84
