広告管理 ＞ キャンペーン ＞ 広告主

"ID","広告主名","代理店名","表示率","Imp","Click","CTR","CV","CVR","グロス","ネット"
"125","にじげんカノジョ","株式会社カラット","100%",22097771,30626,"0.139%",246,"0.803%",232014.09699999992,161095.836039998
"1141","Plusmate","株式会社カラット","100%",19427189,22796,"0.117%",83,"0.364%",197144.66000000003,143937.8659800006
"957","アナザーヒロイン","株式会社カラット","100%",8837774,7257,"0.082%",53,"0.730%",57677.22999999999,42893.98788000018
"2458","ニジカレ","株式会社カラット","100%",6527574,4841,"0.074%",14,"0.289%",51121.70999999999,38276.27000000004
"2645","SSP連携_ARROW","アドネットワーク","100%",2429338,4384,"0.180%",0,"0",42665.2,34512.687
"6626","SSP連携_Adroute_2","アドネットワーク","100%",1376139,2407,"0.175%",0,"0",30742,23218.021999999997
"5246","リングラム","株式会社カラット","100%",4149145,1935,"0.047%",59,"3.049%",30249.329999999994,22465.787134000002
"6109","株式会社リプラグ","株式会社リプラグ","100%",1693587,2182,"0.129%",8,"0.367%",21754.71,17450.3068
"83","アキナジスタ","アキナジスタ株式会社","100%",1200446,1445,"0.120%",2,"0.138%",17710.5,12498.068
"4155","株式会社HAL","株式会社mint","100%",5837929,1802,"0.031%",0,"0",13644.9,11102.427970999974
"432","SSP連携_Advision","アドネットワーク","100%",2127777,16072,"0.755%",0,"0",12923,15099.7955
"707","株式会社ケーワン・エンタープライズ","株式会社ケーワン・エンタープライズ","100%",186210,24459,"13.135%",434,"1.774%",11399.640000000001,8070.490499999999
"18","自社運用_チャットアプリ","9999_フィングネットワーク広告","100%",2211583,264203,"11.946%",15,"0.006%",11361.969999999996,12591.129599999997
"4499","株式会社サン・クラルテ製薬","9999_EC自社運用","100%",7197059,11487,"0.160%",1,"0.009%",8994.643000000002,12042.077138000013
"28","イークリエーション株式会社","イークリエーション株式会社","100%",1578541,1525,"0.097%",0,"0",8770.000000000002,5955.906500000005
"7021","株式会社トライブエージェント","株式会社トライブエージェント ","100%",1212368,945,"0.078%",0,"0",4475.620000000001,3191.1074999999987
"1025","株式会社マイクロン","株式会社マイクロン","100%",409844,106831,"26.066%",3,"0.003%",3087.9800000000005,2478.8050000000003
"3218","SSP連携mixxAD","アドネットワーク","100%",115251,54,"0.047%",0,"0",2819.898,1436.886
"3274","SSP連携_adstir","アドネットワーク","100%",357969,23,"0.006%",0,"0",600.3499999999999,14510.992499999997
"3913","SSP連携_AdVortex","アドネットワーク","100%",267127,3087,"1.156%",0,"0",479,363.7047
"1251","株式会社TSP","1720_株式会社TSP","100%",223869,34,"0.015%",3,"8.824%",444,355.964
"7034","株式会社ワクワクコミュニケーションズ","9999_EC自社運用","100%",19846,21,"0.106%",0,"0",345,463.163
"3506","SSP連携_Geniee","アドネットワーク","100%",41504,35,"0.084%",0,"0",293,236.3399
"21","フィラー掲載用","9999_フィングネットワーク広告","100%",245048,71,"0.029%",0,"0",71,71
"11","SSP連携_Zucks","アドネットワーク","100%",5089,17,"0.334%",0,"0",64.086,52.434000000000005
"804","SSP連携用_Cirqua","アドネットワーク","100%",30294,6,"0.020%",0,"0",37,45.694739999999996
"1127","アイコン/ヘップラ","9999_フィングネットワーク広告","100%",3951,24,"0.607%",0,"0",7.199999999999998,7.199999999999998
"8","SSP連携用_アイモバイル","アドネットワーク","100%",5194,11,"0.212%",0,"0",2,1.5
"2","株式会社ディマージシェア_広","株式会社ディマージシェア","100%",0,0,"0.000%",0,"0.000%",0,0
"9","SSP連携_fluct","アドネットワーク","100%",0,0,"0.000%",0,"0.000%",0,0
"10","SSP連携_Amoad","アドネットワーク","100%",0,0,"0.000%",0,"0.000%",0,0
"14","SSP連係_TapOne","アドネットワーク","100%",0,0,"0.000%",0,"0.000%",0,0
"20","株式会社バーキュリー'","9999_EC自社運用","100%",0,0,"0.000%",0,"0.000%",0,0
"23","STYLE株式会社","9999_EC自社運用","100%",0,0,"0.000%",0,"0.000%",0,0
"26","株式会社ネクシブ","株式会社メタップスワン","100%",0,0,"0.000%",0,"0.000%",0,0
"30","株式会社　広告主サンプル","株式会社フィング_サンプル","100%",0,0,"0.000%",0,"0.000%",0,0
"32","株式会社アスミック","株式会社トゥルーステージ","100%",0,0,"0.000%",0,"0.000%",0,0
