広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"3135 ニジカレ_アダルト","15666","[アダルト]ニジカレレクタングル_ADR[fam_41](認証あり)_動画スクロール2","ﾚｸﾀﾝｸﾞﾙ","アカテ",3,30,"オン",1828412,2044,"0.112%",8,"0.391%",31805.5,21447.100000000002,10358.4,0,15.56,17.4
"1042 SP_DLsite_m","15621","SP_男性【準アダルト】乳首カリカリ我慢ゲーム_300x250","ﾚｸﾀﾝｸﾞﾙ","アカテ",1,30,"オン",1608800,2071,"0.129%",0,"0",26693,18780.258,7912.742,0,12.89,16.59
"3135 ニジカレ_アダルト","13970","[アダルト]ニジカレレクタングル_ADR[fam_41](認証あり)_動画スクロール","ﾚｸﾀﾝｸﾞﾙ","アカテ",3,30,"オン",1640788,1337,"0.081%",0,"0",16665.1,7695.294499999999,8969.8055,0,12.46,10.16
"828 にじげんカノジョ","15631","にじげんカノジョ_fam146(準一般LP)_300*250_ADR_動画スクロール","ﾚｸﾀﾝｸﾞﾙ","アカテ",31,30,"オフ",1159793,1693,"0.146%",12,"0.709%",12086.81,8452.990000000003,3633.82,0,7.14,10.42
"828 にじげんカノジョ","15632","にじげんカノジョ_fam146(準一般LP)_300*250_IOS_動画スクロール_WL","ﾚｸﾀﾝｸﾞﾙ","アカテ",12,30,"オン",1030839,1479,"0.143%",12,"0.811%",12071.61,9153.223500000002,2918.3865,0,8.16,11.71
"1943 ぴゅあらば_BR","9076","BR_ぴゅあらば_ADR_オーバーレイ_KNT","ｵｰﾊﾞｰﾚｲ(320*50)","ア",3,30,"オン",78987,22476,"28.455%",216,"0.961%",10628.62,7440.033999999999,3188.586,0,0.47,134.56
"828 にじげんカノジョ","15741","にじげんカノジョ_fam149(準一般LP)_300*250_ADR_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","アカテ",2,30,"オン",1410315,1650,"0.117%",16,"0.970%",10274.200000000003,7204.882999999999,3069.317,0,6.23,7.29
"1151 アナザーヒロイン","15474","新アナザーヒロイン_300*250_ADR_動画スクロール_fam_41(準一般)","ﾚｸﾀﾝｸﾞﾙ","アカテ",4,30,"オン",722332,1121,"0.155%",7,"0.624%",9097.7,5142.312,3955.388,0,8.12,12.59
"828 にじげんカノジョ","15751","にじげんカノジョ_fam149(準一般LP_年確あり)_300*250_ADR_動画スクロール②","ﾚｸﾀﾝｸﾞﾙ","アカテ",31,30,"オフ",884656,1206,"0.136%",8,"0.663%",8145.51,5605.2135,2540.2965,0,6.75,9.21
"828 にじげんカノジョ","15740","にじげんカノジョ_fam149(準一般LP)_300*250_IOS_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","アカテ",2,30,"オン",972216,1093,"0.112%",5,"0.457%",8081.0369999999975,6276.3734,1804.6636,0,7.39,8.31
"828 にじげんカノジョ","15739","にじげんカノジョ_fam146(準一般LP)_300*250_ADR_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","アカテ",2,30,"オン",761878,1232,"0.162%",7,"0.568%",8046.1900000000005,5606.246999999998,2439.943,0,6.53,10.56
"828 にじげんカノジョ","15681","にじげんカノジョ_fam149(準一般LP_年確あり)_300*250_ADR_動画スクロール","ﾚｸﾀﾝｸﾞﾙ","アカテ",31,30,"オン",643713,1024,"0.159%",12,"1.172%",8042.81,5559.276500000002,2483.5335,0,7.85,12.49
"828 にじげんカノジョ","15680","にじげんカノジョ_fam149(準一般LP_年確あり)_300*250_IOS_動画スクロール_WL","ﾚｸﾀﾝｸﾞﾙ","アカテ",12,30,"オン",1030552,1039,"0.101%",13,"1.251%",8019.900000000001,5899.803,2120.097,0,7.72,7.78
"3135 ニジカレ_アダルト","14009","[アダルト]ニジカレレクタングル_iOS「fam_41](認証あり)_WLⅢ","ﾚｸﾀﾝｸﾞﾙ","ア",10,30,"オン",1494441,1021,"0.068%",0,"0",7539.500000000001,5145.1405,2394.3595,0,7.38,5.05
"828 にじげんカノジョ","15738","にじげんカノジョ_fam146(準一般LP)_300*250_IOS_ファインドバナー","ﾚｸﾀﾝｸﾞﾙ","アカテ",2,30,"オフ",1030868,1046,"0.101%",7,"0.669%",7328.354,5783.9187999999995,1544.4352,0,7.01,7.11
"3666 グリーンモンスターハード","14814","グリーンモンスターハード_SP用_fam8_レクタングル","ﾚｸﾀﾝｸﾞﾙ","ア",8,30,"オン",1215033,1141,"0.094%",0,"0",7042.500000000001,4966.454499999999,2076.0455,0,6.17,5.8
"828 にじげんカノジョ","15760","にじげんカノジョ_fam151(クライアントLPエリカ)_300*250_IOS_動画スクロール_WL","ﾚｸﾀﾝｸﾞﾙ","アカテ",12,30,"オン",1148323,1095,"0.095%",13,"1.187%",6811.1,4969.037,1842.063,0,6.22,5.93
"3135 ニジカレ_アダルト","15665","[アダルト]ニジカレレクタングル_iOS「fam_41](認証あり)_3","ﾚｸﾀﾝｸﾞﾙ","ア",8,30,"オン",704260,653,"0.093%",2,"0.306%",6716.400000000001,5040.144000000001,1676.256,0,10.29,9.54
"3135 ニジカレ_アダルト","13996","[アダルト]ニジカレレクタングル_iOS「fam_41](認証あり)_WLⅡ","ﾚｸﾀﾝｸﾞﾙ","ア",8,30,"オン",528075,558,"0.106%",1,"0.179%",6560.3,4495.9394999999995,2064.3605,0,11.76,12.42
